date;region;cases
2020-03-19;AT-2;3
2020-03-19;AT-3;4
2020-03-19;AT-4;2
2020-03-19;AT-5;0
2020-03-19;AT-6;5
2020-03-19;AT-7;14
2020-03-19;AT-8;2
2020-03-19;AT-9;3
2020-03-20;AT-1;0
2020-03-20;AT-2;1
2020-03-20;AT-3;7
2020-03-20;AT-4;2
2020-03-20;AT-5;0
2020-03-20;AT-6;3
2020-03-20;AT-7;34
2020-03-20;AT-8;0
2020-03-20;AT-9;6
2020-03-21;AT-1;1
2020-03-21;AT-2;2
2020-03-21;AT-3;8
2020-03-21;AT-4;2
2020-03-21;AT-5;1
2020-03-21;AT-6;1
2020-03-21;AT-7;64
2020-03-21;AT-8;0
2020-03-21;AT-9;3
2020-03-22;AT-1;1
2020-03-22;AT-2;0
2020-03-22;AT-3;11
2020-03-22;AT-4;2
2020-03-22;AT-5;2
2020-03-22;AT-6;1
2020-03-22;AT-7;49
2020-03-22;AT-8;0
2020-03-22;AT-9;8
2020-03-23;AT-1;20
2020-03-23;AT-2;9
2020-03-23;AT-3;45
2020-03-23;AT-4;48
2020-03-23;AT-5;39
2020-03-23;AT-6;37
2020-03-23;AT-7;198
2020-03-23;AT-8;45
2020-03-23;AT-9;112
2020-03-24;AT-1;2
2020-03-24;AT-2;19
2020-03-24;AT-3;89
2020-03-24;AT-4;94
2020-03-24;AT-5;82
2020-03-24;AT-6;81
2020-03-24;AT-7;118
2020-03-24;AT-8;49
2020-03-24;AT-9;111
2020-03-25;AT-1;2
2020-03-25;AT-2;11
2020-03-25;AT-3;95
2020-03-25;AT-4;149
2020-03-25;AT-5;64
2020-03-25;AT-6;48
2020-03-25;AT-7;211
2020-03-25;AT-8;21
2020-03-25;AT-9;67
2020-03-26;AT-1;29
2020-03-26;AT-2;25
2020-03-26;AT-3;154
2020-03-26;AT-4;143
2020-03-26;AT-5;118
2020-03-26;AT-6;102
2020-03-26;AT-7;201
2020-03-26;AT-8;43
2020-03-26;AT-9;193
2020-03-27;AT-1;24
2020-03-27;AT-2;18
2020-03-27;AT-3;159
2020-03-27;AT-4;114
2020-03-27;AT-5;49
2020-03-27;AT-6;65
2020-03-27;AT-7;168
2020-03-27;AT-8;65
2020-03-27;AT-9;122
2020-03-28;AT-1;13
2020-03-28;AT-2;22
2020-03-28;AT-3;98
2020-03-28;AT-4;102
2020-03-28;AT-5;66
2020-03-28;AT-6;60
2020-03-28;AT-7;161
2020-03-28;AT-8;41
2020-03-28;AT-9;47
2020-03-29;AT-1;19
2020-03-29;AT-2;22
2020-03-29;AT-3;120
2020-03-29;AT-4;116
2020-03-29;AT-5;54
2020-03-29;AT-6;58
2020-03-29;AT-7;114
2020-03-29;AT-8;24
2020-03-29;AT-9;17
2020-03-30;AT-1;9
2020-03-30;AT-2;12
2020-03-30;AT-3;119
2020-03-30;AT-4;57
2020-03-30;AT-5;59
2020-03-30;AT-6;69
2020-03-30;AT-7;118
2020-03-30;AT-8;24
2020-03-30;AT-9;197
2020-03-31;AT-1;6
2020-03-31;AT-2;18
2020-03-31;AT-3;81
2020-03-31;AT-4;68
2020-03-31;AT-5;39
2020-03-31;AT-6;61
2020-03-31;AT-7;127
2020-03-31;AT-8;34
2020-03-31;AT-9;113
2020-04-01;AT-1;12
2020-04-01;AT-2;14
2020-04-01;AT-3;69
